April soc5a,May soc5a,Jun soc5a
(1) Not at all or less than 1 day,(2) 1-2 days,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(4) 5-7 days,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(3) 3-4 days,(2) 1-2 days
(1) Not at all or less than 1 day,(2) 1-2 days,(1) Not at all or less than 1 day
(2) 1-2 days,(2) 1-2 days,(2) 1-2 days
(3) 3-4 days,(2) 1-2 days,(2) 1-2 days
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(2) 1-2 days
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(2) 1-2 days
(3) 3-4 days,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(2) 1-2 days,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(3) 3-4 days
(1) Not at all or less than 1 day,(3) 3-4 days,(3) 3-4 days
(2) 1-2 days,(1) Not at all or less than 1 day,(2) 1-2 days
(1) Not at all or less than 1 day,(3) 3-4 days,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(3) 3-4 days,(3) 3-4 days,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(4) 5-7 days
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(2) 1-2 days,(3) 3-4 days
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(2) 1-2 days
(2) 1-2 days,(1) Not at all or less than 1 day,(2) 1-2 days
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(4) 5-7 days
(1) Not at all or less than 1 day,(2) 1-2 days,(2) 1-2 days
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(3) 3-4 days
(2) 1-2 days,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(1) Not at all or less than 1 day,(1) Not at all or less than 1 day
(1) Not at all or less than 1 day,(3) 3-4 days,(3) 3-4 days
